City,Date,Cloudiness,Countries,humidity,lat,lon,maxTemp,windSpeed
Souillac,1583882552,75,MU,94,-20.52,57.52,26.0,2.6
Bairiki Village,1583882554,75,KI,74,1.33,172.98,31.0,5.1
Keetmanshoop,1583882555,33,NA,29,-26.58,18.13,23.4,4.88
Fergus Falls,1583882557,1,US,79,46.28,-96.08,-1.0,2.6
Sioux Lookout,1583882559,1,CA,84,50.1,-91.92,0.0,4.1
Slyudyanka,1583882561,100,RU,96,51.66,103.71,-13.13,1.71
La Ronge,1583882562,75,CA,63,55.1,-105.28,-2.0,4.16
Khovd,1583882563,100,MN,91,48.01,91.64,-11.82,1.5
Chui,1583882564,35,UY,79,-33.7,-53.46,19.38,3.96
Mahibadhoo,1583882565,35,MV,71,3.78,72.97,28.14,5.2
Meulaboh,1583882566,100,ID,83,4.14,96.13,26.87,4.16
Fortuna,1583882567,1,US,66,40.6,-124.16,20.0,8.2
Beringovskiy,1583882568,100,RU,87,63.05,179.32,-11.21,1.56
Pisco,1583882569,22,PE,30,-13.7,-76.22,23.33,3.6
Abadan,1583882570,0,TM,69,38.05,58.21,4.0,2.1
Clyde River,1583882571,75,CA,60,70.47,-68.59,-32.0,1.0
Wau,1583882572,37,SS,21,7.7,28.0,26.55,1.25
Lorengau,1583882573,88,PG,71,-2.02,147.27,29.05,5.67
Tuktoyaktuk,1583882574,90,CA,75,69.45,-133.04,-28.0,5.7
Tocopilla,1583882575,77,CL,54,-22.09,-70.2,17.1,0.69
Airai,1583882576,68,TL,73,-8.93,125.41,24.17,0.68
Belmonte,1583882578,75,BR,88,-15.86,-38.88,25.0,1.5
Tasiilaq,1583882580,78,GL,61,65.61,-37.64,-11.0,0.5
East London,1583882581,100,ZA,85,-33.02,27.91,21.98,7.64
Kahului,1583882585,20,US,48,20.89,-156.47,28.0,5.7
Iqaluit,1583882561,40,CA,68,63.75,-68.51,-28.89,5.1
Nikolskoye,1583882587,75,RU,86,59.7,30.79,4.44,2.0
Khatanga,1583882588,21,RU,83,71.97,102.5,-29.77,4.97
Bluff,1583882589,90,NZ,70,-46.6,168.33,12.22,1.34
Barrow,1583882590,1,US,74,71.29,-156.79,-31.0,2.6
Flinders,1583882592,40,AU,82,-34.58,150.86,22.22,2.08
Katangli,1583882593,100,RU,93,51.71,143.23,-6.4,6.48
Puerto Ayora,1583882594,20,EC,78,-0.74,-90.35,28.0,3.1
Hithadhoo,1583882595,100,MV,78,-0.6,73.08,28.23,5.3
Bambous Virieux,1583882596,75,MU,94,-20.34,57.76,26.0,2.6
George Town,1583882594,40,MY,94,5.41,100.34,27.0,0.99
Makaha,1583882599,90,US,64,21.47,-158.22,27.0,2.6
Launceston,1583882423,0,AU,76,-41.45,147.17,17.22,1.57
Lavrentiya,1583882601,64,RU,85,65.58,-171.0,-18.38,2.32
Poya,1583882602,7,NC,75,-21.35,165.15,27.68,2.77
Borovoy,1583882603,99,RU,85,55.43,86.08,-12.0,3.0
Nanortalik,1583882604,91,GL,83,60.14,-45.24,-6.09,3.27
Portland,1583882605,20,US,36,45.52,-122.68,16.67,0.73
Port Hawkesbury,1583882545,90,CA,100,45.62,-61.35,0.0,6.2
Cidreira,1583882609,39,BR,86,-30.18,-50.21,24.11,5.21
Chokurdakh,1583882610,37,RU,84,70.63,147.92,-32.58,2.0
Rawson,1583882611,100,AR,52,-43.3,-65.1,21.82,13.02
Jumla,1583882612,98,NP,45,29.27,82.18,0.01,1.97
Hilo,1583882404,90,US,57,19.73,-155.09,26.0,3.6
Constantine,1583882493,75,DZ,87,36.37,6.61,6.0,1.5
Fort Nelson,1583882615,90,CA,93,58.81,-122.7,0.0,3.1
Ludvika,1583882616,100,SE,93,60.15,15.19,2.78,2.1
Lompoc,1583882617,90,US,87,34.64,-120.46,17.0,3.1
Touros,1583882618,40,BR,78,-5.2,-35.46,28.0,1.5
Verkhnevilyuysk,1583882619,100,RU,95,63.45,120.32,-29.06,2.93
Narsaq,1583882337,29,GL,33,60.92,-46.05,-1.0,3.1
Santa Rosa,1583882345,75,PH,78,14.31,121.11,28.0,2.6
Bethel,1583882622,90,US,59,41.37,-73.41,17.22,4.1
Saint Anthony,1583882624,75,US,55,45.02,-93.22,5.56,0.9
Chimbote,1583882625,24,PE,64,-9.09,-78.58,24.66,3.86
Yangi Marg`ilon,1583882627,75,UZ,75,40.43,71.72,6.0,1.0
Fort-Shevchenko,1583882628,0,KZ,35,44.51,50.26,7.78,13.37
Nouadhibou,1583882629,0,MR,24,20.93,-17.03,26.0,4.1
Sitka,1583882630,75,US,66,57.05,-135.33,4.0,3.1
Mehamn,1583882631,75,NO,53,71.04,27.85,-5.0,3.1
Middelburg,1583882632,71,ZA,71,-25.78,29.46,16.16,3.08
Ukiah,1583882405,1,US,22,39.15,-123.21,24.0,1.47
Grand Gaube,1583882634,75,MU,94,-20.01,57.66,26.0,2.6
Suntar,1583882635,100,RU,95,62.14,117.63,-29.24,2.85
Olinda,1583882405,55,BR,75,-8.01,-34.86,27.25,2.42
Marsh Harbour,1583882637,39,BS,72,26.54,-77.06,22.01,8.64
Tongliao,1583882638,38,CN,48,43.61,122.27,-3.9,2.49
Henderson,1583882492,90,US,76,36.04,-114.98,16.0,2.1
Carlos Chagas,1583882640,33,BR,98,-17.7,-40.77,21.61,1.98
Aykhal,1583882641,0,RU,74,66.0,111.5,-31.0,2.0
Ribeira Grande,1583882398,100,PT,95,38.52,-28.7,13.72,5.16
Port Macquarie,1583882644,90,AU,93,-31.43,152.92,21.67,3.1
Sukhumi,1583882645,75,GE,52,43.0,41.02,14.54,1.14
Puerto Escondido,1583882646,5,MX,79,15.85,-97.07,31.0,4.1
Savannah Bight,1583882649,6,HN,77,16.45,-85.85,26.38,6.57
Yonago,1583882650,75,JP,93,35.43,133.33,10.0,5.1
Buala,1583882651,70,SB,77,-8.14,159.59,28.35,5.27
São João da Barra,1583882652,0,BR,83,-21.64,-41.05,24.0,4.99
Laguna,1583882654,1,US,23,38.42,-121.42,25.0,0.85
Irbeyskoye,1583882655,70,RU,95,55.64,95.45,-9.0,2.4
Torbay,1583882442,90,CA,57,47.67,-52.73,-6.11,2.1
Awang,1583882657,63,PH,66,7.15,124.22,27.29,0.91
Novy Urengoy,1583882658,100,RU,94,66.08,76.63,-1.32,6.91
Srednekolymsk,1583882401,98,RU,92,67.45,153.68,-27.22,1.31
Maragogi,1583882661,89,BR,76,-9.01,-35.22,28.57,5.97
Goya,1583882663,39,AR,39,-29.14,-59.26,30.45,1.97
Poum,1583882623,35,NC,75,-20.23,164.02,27.85,6.15
Tucumcari,1583882477,20,US,19,35.17,-103.72,26.0,9.8
Bethanien,1583882666,40,NA,34,-26.5,17.16,21.74,0.64
Kedrovyy,1583882667,40,RU,78,56.17,91.82,-8.0,6.0
Lagan,1583882668,76,RU,75,45.39,47.37,6.88,7.61
Shubarshi,1583882669,77,KZ,69,48.59,57.19,1.27,2.17
Ngunguru,1583882670,17,NZ,50,-35.62,174.5,22.78,3.58
Husavik,1583882671,75,IS,86,66.04,-17.34,-1.0,17.5
Qena,1583882672,51,EG,37,26.16,32.72,22.0,1.71
Weston,1583882673,75,US,60,26.1,-80.4,24.0,6.7
Oodweyne,1583882674,36,SO,65,9.41,45.06,18.81,3.37
Hirara,1583882675,75,JP,63,24.8,125.28,17.0,5.1
Dankaur,1583882677,75,IN,82,28.35,77.55,18.0,1.5
Riohacha,1583882678,99,CO,78,11.54,-72.91,27.0,5.1
Ucluelet,1583882423,90,CA,100,48.93,-125.55,8.89,5.7
Longyearbyen,1583882680,20,SJ,68,78.22,15.64,-26.0,1.0
Huilong,1583882681,9,CN,77,31.81,121.66,11.11,2.26
Dhidhdhoo,1583882682,62,MV,70,6.88,73.1,28.05,2.39
Durango,1583882683,90,MX,29,24.83,-104.83,21.5,1.82
Conceição da Barra,1583882684,3,BR,82,-18.59,-39.73,27.0,10.01
Novyy Urgal,1583882685,0,RU,84,51.07,132.56,-15.36,0.49
Guerrero Negro,1583882686,100,MX,60,27.98,-114.06,21.28,3.76
Beyneu,1583882687,96,KZ,57,45.32,55.2,5.32,4.97
Dingle,1583882688,28,PH,81,11.0,122.67,25.88,3.4
Abalak,1583882689,100,RU,94,58.13,68.59,-0.28,4.08
Petropavlovsk-Kamchatskiy,1583882400,100,RU,67,53.05,158.65,-7.0,3.0
Bengkulu,1583882691,37,ID,82,-3.8,102.27,23.36,1.92
Varberg,1583882692,94,SE,100,57.11,12.25,6.11,7.7
Sulangan,1583882693,32,PH,75,11.14,123.72,26.55,4.34
Saint-Pierre,1583882694,1,RE,88,-21.34,55.48,26.0,10.8
Carora,1583882695,96,VE,57,10.18,-70.08,24.99,2.65
Verāval,1583882696,24,IN,81,20.9,70.37,19.72,2.56
Teahupoo,1583882697,75,PF,66,-17.83,-149.27,31.0,4.6
Cookeville,1583882698,90,US,87,36.16,-85.5,16.11,2.1
San Cristobal,1583882699,75,VE,54,7.77,-72.22,29.0,2.1
Geraldton,1583882701,0,AU,77,-28.77,114.6,18.0,2.1
Leningradskiy,1583882703,90,RU,79,69.38,178.42,-24.62,0.9
Djebeniana,1583882704,40,TN,71,35.03,10.91,13.0,5.7
Bandarbeyla,1583882705,0,SO,77,9.49,50.81,25.02,6.94
Beni Mazar,1583882706,96,EG,61,28.5,30.8,15.28,4.55
Elizabethton,1583882707,90,US,93,36.35,-82.21,15.56,1.5
Tokoroa,1583882708,80,NZ,73,-38.23,175.87,21.11,0.89
Pemangkat,1583882709,94,ID,92,1.17,108.97,24.69,1.95
Ust-Kuyga,1583882710,25,RU,95,70.02,135.6,-32.5,2.02
Urengoy,1583882711,100,RU,94,65.97,78.37,-1.35,6.67
Saskylakh,1583882712,0,RU,79,71.92,114.08,-31.47,4.51
New Norfolk,1583882713,20,AU,76,-42.78,147.06,18.89,3.6
Marion,1583882535,90,US,81,39.77,-86.16,8.0,4.1
Lensk,1583882715,100,RU,99,60.73,114.93,-31.0,1.97
Atar,1583882717,0,MR,10,20.52,-13.05,22.15,4.97
Ola,1583882718,92,RU,89,59.58,151.28,-15.45,2.07
Ambovombe,1583882719,0,MG,88,-25.17,46.08,20.72,1.89
Bosaso,1583882720,0,SO,73,11.28,49.18,25.33,7.69
Port Elizabeth,1583882568,75,ZA,93,-33.92,25.57,18.0,1.5
Kralendijk,1583882722,40,BQ,74,12.15,-68.27,27.0,7.2
Shelton,1583882724,90,US,71,41.32,-73.09,17.0,4.6
Umeå,1583882725,91,SE,100,63.83,20.26,1.0,2.1
Xining,1583882726,53,CN,47,36.62,101.77,-5.61,2.41
Bathsheba,1583882727,40,BB,65,13.22,-59.52,26.0,8.2
Forsytheganj,1583882728,0,BY,81,52.63,29.73,3.38,2.3
Saryozek,1583882729,71,KZ,54,44.36,77.98,-2.85,1.36
Phalaborwa,1583882730,0,ZA,72,-23.94,31.14,21.0,1.98
Anadyr,1583882731,81,RU,75,64.75,177.48,-26.67,3.0
Port Lincoln,1583882732,86,AU,44,-34.73,135.87,24.49,2.59
Vestmannaeyjar,1583882733,100,IS,82,63.44,-20.27,3.02,4.15
Sainte-Thècle,1583882734,90,CA,89,46.82,-72.5,1.0,1.0
Lashio,1583882735,0,MM,49,22.93,97.75,12.89,0.93
Roald,1583882736,100,NO,65,62.58,6.13,7.0,2.6
Kavieng,1583882738,100,PG,73,-2.57,150.8,28.37,2.32
Auki,1583882739,100,SB,73,-8.77,160.7,28.84,3.36
Bonoua,1583882740,95,CI,88,5.27,-3.6,28.0,2.6
Esperance,1583882741,0,AU,93,-33.87,121.9,14.0,1.5
Vernon,1583882742,90,CA,48,50.26,-119.27,4.44,1.5
Udachny,1583882743,1,RU,74,66.42,112.4,-31.0,2.0
Kapit,1583882744,74,MY,96,2.02,112.93,24.17,0.4
Kidal,1583882745,79,ML,7,18.44,1.41,21.36,6.36
Neiafu,1583882746,75,TO,79,-18.65,-173.98,29.0,3.1
Yar-Sale,1583882748,100,RU,90,66.83,70.83,-1.61,7.25
Ambon City,1583882627,20,ID,78,-3.7,128.18,28.0,1.0
Yei,1583882750,88,SS,52,4.09,30.68,24.76,1.58
Magistral'nyy,1583882751,97,RU,93,56.17,107.45,-22.4,1.65
Bongandanga,1583882752,70,CD,72,1.5,21.05,24.32,1.98
Saint-Louis,1583882753,0,SN,19,16.33,-15.0,31.0,3.77
La Romana,1583882754,75,DO,100,18.43,-68.97,24.0,3.1
Rumonge,1583882755,100,BI,93,-3.97,29.44,20.07,0.33
Upernavik,1583882756,7,GL,93,72.79,-56.15,-32.4,3.68
Gorom-Gorom,1583882757,98,BF,6,14.44,-0.24,25.44,5.03
Vilhena,1583882758,20,BR,74,-12.74,-60.15,27.0,2.1
Ancud,1583882606,90,CL,100,-41.87,-73.82,15.0,6.2
Lakes Entrance,1583882760,0,AU,69,-37.88,147.98,19.44,0.45
Ust-Tsilma,1583882761,100,RU,97,65.44,52.15,0.78,4.04
Agadez,1583882762,32,NE,18,19.75,10.25,21.44,4.77
Berlevåg,1583882763,75,NO,53,70.86,29.09,-5.0,3.1
Honiara,1583882764,75,SB,88,-9.43,159.95,27.0,1.5
Umluj,1583882765,22,SA,23,25.02,37.27,21.42,0.89
Santa Cruz del Norte,1583882766,20,CU,57,23.15,-81.92,25.0,7.7
Dalen,1583882767,20,NL,81,52.7,6.76,10.56,8.2
Farah,1583882768,0,AF,47,32.5,62.5,5.16,2.31
Lata,1583882769,40,PT,100,40.16,-8.33,11.67,1.5
Coolum Beach,1583882770,39,AU,95,-26.53,153.1,24.44,5.92
Mau,1583882771,67,IN,55,25.95,83.55,18.71,1.75
Karoi,1583882772,87,ZW,93,-16.81,29.69,18.14,2.0
Hong Kong,1583882682,20,HK,55,22.29,114.16,19.0,1.5
Gizo Government Station,1583882774,100,SB,90,-8.1,156.84,25.42,3.62
Kununurra,1583882776,0,AU,88,-15.77,128.73,24.0,0.68
Jacqueville,1583882777,95,CI,88,5.21,-4.41,28.0,2.6
Katsuura,1583882778,20,JP,59,35.13,140.3,18.0,7.7
Madimba,1583882779,40,TZ,94,-10.4,40.33,21.0,1.0
Bac Lieu,1583882780,0,VN,83,9.29,105.72,25.46,2.29
Örnsköldsvik,1583882781,100,SE,100,63.29,18.72,2.0,1.0
Zhigansk,1583882782,15,RU,91,66.77,123.37,-34.86,5.39
Bayan,1583882783,89,CN,96,46.08,127.4,-7.64,2.98
Kattivākkam,1583882784,40,IN,88,13.22,80.32,26.67,1.5
Broken Hill,1583882785,0,AU,68,-31.95,141.43,21.0,3.6
Sampit,1583882786,96,ID,83,-2.53,112.95,26.2,0.88
Gushikawa,1583882787,75,JP,55,26.35,127.87,16.0,4.6
Swellendam,1583882788,99,ZA,68,-34.02,20.44,21.0,5.7
Cap Malheureux,1583882505,75,MU,94,-19.98,57.61,26.0,2.6
Svetlaya,1583882790,100,RU,93,46.54,138.33,-0.43,6.3
Poções,1583882792,86,BR,96,-14.53,-40.37,20.9,1.92
Sur,1583882793,0,OM,28,22.57,59.53,19.73,9.01
Hamilton,1583882794,90,US,76,39.18,-84.53,11.11,2.1
Konstantinovka,1583882795,0,RU,83,49.62,127.98,-10.21,1.12
Russell,1583882796,90,US,64,32.35,-85.2,21.0,3.1
Vanavara,1583882799,23,RU,96,60.34,102.28,-30.87,1.26
Padang,1583882800,26,ID,91,-0.95,100.35,20.35,1.72
Peleduy,1583882801,97,RU,97,59.63,112.74,-32.61,1.16
Novoagansk,1583882802,100,RU,90,61.94,76.66,-1.0,8.46
Pochutla,1583882803,20,MX,58,15.74,-96.47,31.0,5.1
Ponta do Sol,1583882804,20,PT,25,32.67,-17.1,17.22,6.2
Bajil,1583882806,69,YE,71,15.06,43.29,23.43,1.06
Ballina,1583882807,90,AU,57,-28.87,153.57,24.0,6.7
Novo Aripuanã,1583882808,100,BR,95,-5.12,-60.38,23.28,0.31
Gua Musang,1583882809,26,MY,96,4.88,101.96,22.83,0.52
Potosí,1583882571,38,BO,83,-19.58,-65.75,8.85,2.68
Mawlaik,1583882811,0,MM,58,23.63,94.42,15.37,0.7
San Quintín,1583882812,100,MX,94,30.48,-115.95,16.55,4.62
Tezu,1583882813,98,IN,81,27.92,96.17,15.71,2.01
Tiznit Province,1583882815,0,MA,20,29.58,-9.5,17.85,1.63
Tual,1583882817,99,ID,79,-5.67,132.75,28.24,7.63
Naze,1583882818,75,JP,51,28.37,129.48,17.0,6.2
Bom Jesus do Galho,1583882819,3,BR,83,-19.83,-42.32,23.0,0.5
Bowen,1583882820,75,AU,94,-20.02,148.23,24.44,5.7
Iwaki,1583882822,75,JP,100,37.05,140.88,17.22,6.7
Harper,1583882823,100,LR,92,4.38,-7.72,24.46,1.67
Antalaha,1583882824,89,MG,80,-14.9,50.28,27.36,6.83
Mūl,1583882825,72,IN,50,20.07,79.67,26.34,3.07
São José da Coroa Grande,1583882826,89,BR,76,-8.9,-35.15,28.57,5.97
Sibolga,1583882827,84,ID,94,1.74,98.78,22.65,1.19
Cockburn Town,1583882655,75,TC,83,21.46,-71.14,21.0,7.7
Birjand,1583882829,0,IR,30,32.87,59.22,-3.0,2.1
Pangkalanbuun,1583882675,62,ID,82,-2.68,111.62,26.07,0.6
Ayagoz,1583882832,0,KZ,94,47.97,80.44,-14.32,3.54
Hohhot,1583882764,16,CN,66,40.81,111.65,-9.0,2.0
Amarante do Maranhão,1583882834,80,BR,97,-5.57,-46.74,22.15,1.75
Balkhash,1583882835,0,KZ,87,46.84,74.98,-8.71,5.7
Coquimbo,1583882776,75,CL,82,-29.95,-71.34,17.0,4.1
Morón,1583882837,0,AR,78,-34.65,-58.62,23.0,6.2
Yārāda,1583882838,20,IN,94,17.65,83.27,24.0,1.0
Camacha,1583882840,20,PT,87,33.08,-16.33,16.0,3.1
Merrill,1583882842,90,US,51,45.18,-89.68,4.44,1.5
Vitim,1583882843,97,RU,97,59.45,112.56,-32.61,1.16
Santa Cruz Cabrália,1583882844,75,BR,88,-16.28,-39.02,25.0,2.1
Provideniya,1583882845,88,RU,77,64.38,-173.3,-14.0,2.0
Tello,1583882846,75,CO,41,3.07,-75.14,34.0,1.0
Nuuk,1583882847,20,GL,67,64.18,-51.72,-6.0,3.6
Letlhakane,1583882849,17,BW,44,-21.42,25.58,21.31,3.69
Ngatea,1583882850,69,NZ,77,-37.28,175.5,22.22,6.7
Dourbali,1583882852,30,TD,14,11.81,15.86,25.78,4.33
Olafsvik,1583882853,100,IS,76,64.89,-23.71,0.82,19.51
Haverfordwest,1583882854,100,GB,93,51.8,-4.97,9.0,8.2
Khairpur,1583882855,75,PK,82,27.53,68.76,16.0,3.1
Dergachi,1583882856,100,RU,49,51.23,48.77,4.75,5.16
Karratha,1583882857,100,AU,66,-20.74,116.85,29.59,2.37
Leh,1583882858,100,IN,37,34.17,77.58,-12.66,0.31
Chipinge,1583882859,21,ZW,75,-20.19,32.62,17.73,1.53
Krasnosel'kup,1583882860,100,RU,93,65.7,82.47,-0.77,7.83
Ilulissat,1583882861,40,GL,65,69.22,-51.1,-14.0,5.7
Roswell,1583882633,90,US,77,34.02,-84.36,19.0,4.1
Santa Lucía,1583882863,20,ES,82,27.91,-15.54,18.0,7.7
Alexandria,1583882864,0,EG,76,31.22,29.96,14.0,2.1
Semīrom,1583882866,0,IR,31,31.42,51.57,-0.15,0.83
Nemuro,1583882867,100,JP,98,43.32,145.57,5.45,11.11
Pitimbu,1583882868,40,BR,78,-7.47,-34.81,28.0,2.1
Cortez,1583882869,90,US,70,37.35,-108.59,8.0,2.6
Morro Bay,1583882657,90,US,87,35.37,-120.85,15.56,4.1
Vila Franca do Campo,1583882871,40,PT,82,37.72,-25.43,17.0,4.6
Plettenberg Bay,1583882872,86,ZA,94,-34.05,23.37,18.54,6.71
Papara,1583882874,20,BR,78,-3.98,-38.73,28.0,2.1
Jieshi,1583882876,81,CN,63,22.81,115.83,17.78,4.4
Kayerkan,1583882877,90,RU,92,69.35,87.76,-13.0,18.0
Zaysan,1583882878,83,KZ,94,47.47,84.87,-13.59,1.66
Atambua,1583882879,58,ID,74,-9.11,124.89,26.91,0.3
Kiunga,1583882880,100,PG,87,-6.12,141.29,26.39,0.84
Los Llanos de Aridane,1583882882,40,ES,82,28.66,-17.92,19.44,4.1
Tura,1583882763,0,IN,43,25.52,90.22,17.53,0.91
Ābyek,1583882884,0,IR,44,36.07,50.55,3.0,1.0
Isla Aguada,1583882885,20,MX,78,18.78,-91.47,26.0,5.7
Boa Vista,1583882811,45,BR,38,2.82,-60.67,32.0,3.1
Sergeevka,1583882887,72,KZ,94,53.88,67.42,-4.05,3.77
Tim,1583882889,60,RU,80,51.62,37.12,5.56,1.34
Marawi,1583882890,59,PH,83,8.0,124.29,23.33,2.68
Otjiwarongo,1583882891,52,NA,49,-20.46,16.65,22.0,1.0
